,nome_logradouro_residencia,no_bairro_residencia
0,VARZEA,946
1,COHAB,904
2,IPUTINGA,718
3,AGUA FRIA,429
4,AFOGADOS,398
5,CORDEIRO,325
6,IBURA,323
7,IMBIRIBEIRA,281
8,TORROES,276
9,BOA VIAGEM,250
10,SAN MARTIN,245
11,DOIS UNIDOS,231
12,CASA AMARELA,230
13,BOMBA DO HEMETERIO,201
14,JARDIM SAO PAULO,201
15,CAMPINA DO BARRETO,198
16,CAMPO GRANDE,183
17,AREIAS,180
18,JORDAO,169
19,NOVA DESCOBERTA,168
20,MADALENA,167
21,LINHA DO TIRO,153
22,CAXANGA,152
23,ARRUDA,150
24,BONGI,145
25,TORRE,126
26,MUSTARDINHA,122
27,BARRO,112
28,MACAXEIRA,106
29,PINA,100
30,IPSEP,99
31,MANGUEIRA,94
32,ENGENHO DO MEIO,89
33,ESTANCIA,75
34,BEBERIBE,72
35,COQUEIRAL,68
36,CORREGO DO JENIPAPO,66
37,FUNDAO,65
38,CAJUEIRO,64
39,TEJIPIO,61
40,VASCO DA GAMA,59
41,JIQUIA,53
42,ZUMBI,51
43,DOIS IRMAOS,50
44,BRASILIA TEIMOSA,49
45,ENCRUZILHADA,48
46,PEIXINHOS,42
47,PRADO,42
48,ROSARINHO,41
49,ALTO DO MANDU,41
50,CURADO,39
51,TOTO,38
52,PORTO DA MADEIRA,36
53,GRACAS,35
54,ILHA JOANA BEZERRA,34
55,PASSARINHO,34
56,BOA VISTA,33
57,CIDADE UNIVERSITARIA,33
58,SANCHO,29
59,ILHA DO RETIRO,28
60,SANTO AMARO,27
61,SAO JOSE,27
62,ALTO SANTA TEREZINHA,27
63,SITIO DOS PINTOS,27
64,ALTO JOSE DO PINHO,26
65,CASA FORTE,26
66,PONTO DE PARADA,25
67,MORRO DA CONCEICAO,24
68,BREJO DA GUABIRABA,23
69,CACOTE,22
70,POCO,20
71,GUABIRABA,18
72,TAMARINEIRA,18
73,ALTO JOSE BONIFACIO,17
74,APIPUCOS,14
75,COELHOS,13
76,BREJO DE BEBERIBE,13
77,MANGABEIRA,12
78,AFLITOS,12
79,RECIFE,12
80,ESPINHEIRO,12
81,CABANGA,8
82,HIPODROMO,8
83,DERBY,7
84,PARNAMIRIM,7
85,ILHA DO LEITE,4
86,SOLEDADE,3
87,MONTEIRO,3
88,SANTANA,2
89,JAQUEIRA,2
90,TORREAO,2
91,SANTO ANTONIO,1
92,PAISSANDU,1
