,no_bairro_residencia,quantidade
0,VARZEA,948
1,COHAB,911
2,IPUTINGA,718
3,AGUA FRIA,430
4,AFOGADOS,399
5,IBURA,326
6,CORDEIRO,325
7,IMBIRIBEIRA,283
8,TORROES,276
9,BOA VIAGEM,251
10,SAN MARTIN,246
11,DOIS UNIDOS,231
12,CASA AMARELA,230
13,BOMBA DO HEMETERIO,201
14,JARDIM SAO PAULO,201
15,CAMPINA DO BARRETO,198
16,CAMPO GRANDE,184
17,AREIAS,180
18,JORDAO,172
19,NOVA DESCOBERTA,168
20,MADALENA,167
21,LINHA DO TIRO,154
22,CAXANGA,152
23,ARRUDA,151
24,BONGI,146
25,TORRE,126
26,MUSTARDINHA,122
27,BARRO,112
28,MACAXEIRA,107
29,PINA,101
30,IPSEP,100
31,MANGUEIRA,95
32,ENGENHO DO MEIO,89
33,ESTANCIA,76
34,BEBERIBE,73
35,COQUEIRAL,68
36,CORREGO DO JENIPAPO,66
37,FUNDAO,65
38,CAJUEIRO,64
39,TEJIPIO,62
40,VASCO DA GAMA,59
41,JIQUIA,53
42,ZUMBI,51
43,BRASILIA TEIMOSA,50
44,DOIS IRMAOS,50
45,ENCRUZILHADA,49
46,PEIXINHOS,42
47,PRADO,42
48,ROSARINHO,41
49,ALTO DO MANDU,41
50,CURADO,39
51,TOTO,38
52,PORTO DA MADEIRA,36
53,GRACAS,35
54,ILHA JOANA BEZERRA,34
55,PASSARINHO,34
56,BOA VISTA,33
57,CIDADE UNIVERSITARIA,33
58,SANCHO,29
59,ILHA DO RETIRO,28
60,SANTO AMARO,27
61,SITIO DOS PINTOS,27
62,SAO JOSE,27
63,ALTO SANTA TEREZINHA,27
64,ALTO JOSE DO PINHO,26
65,CASA FORTE,26
66,PONTO DE PARADA,25
67,MORRO DA CONCEICAO,24
68,BREJO DA GUABIRABA,23
69,CACOTE,23
70,POCO,20
71,TAMARINEIRA,19
72,GUABIRABA,18
73,ALTO JOSE BONIFACIO,17
74,APIPUCOS,14
75,COELHOS,13
76,BREJO DE BEBERIBE,13
77,MANGABEIRA,12
78,ESPINHEIRO,12
79,AFLITOS,12
80,RECIFE,12
81,CABANGA,8
82,HIPODROMO,8
83,DERBY,7
84,PARNAMIRIM,7
85,ILHA DO LEITE,4
86,MONTEIRO,3
87,SOLEDADE,3
88,SANTANA,2
89,JAQUEIRA,2
90,TORREAO,2
91,SANTO ANTONIO,1
92,PAISSANDU,1
